time	plasma_radioactivity	metabolite_parent_fraction	whole_blood_radioactivity
16.8	0.004097146230472604	0.9802371541501976	-0.022864719286185827
30.0	-0.0022468221263882023	0.9802371541501976	0.002907652163561204
46.2	0.806873475388234	0.9802371541501976	0.6090209622586376
60.0	53.27995041110292	0.9801847006997031	40.0312333278363
73.8	100.95513694492676	0.9801400181307633	73.67779116852194
90.0	105.7384890859998	0.9800259888905578	78.83834509481335
103.8	112.3670108568673	0.9798539283086289	82.75719938125665
120.0	137.4952051863781	0.9794010250413203	102.23569339096059
133.20000000000002	140.96456288153635	0.9778252432592051	105.84356106191032
148.8	129.3021022194998	0.9678330409965217	97.61265861690573
178.20000000000002	78.25641816407878	0.9570407120968919	57.28894191461665
300.0	26.07992174904734	0.9318561407415654	19.90089656946492
600.0	16.0008098560773	0.7804485027527863	11.604704116787632
907.1999999999999	14.350320755234012	0.6539379474940334	11.248648892758819
1807.8	10.557817171898161	0.47522170057381324	8.336767416959708
2701.2000000000003	7.830241193466603	0.42238599723629666	5.8567714119550125
3595.2000000000003	6.6611006917001285	0.3859191655801826	5.329296876283522
5400.0	5.717104983598499	0.37608318890814557	4.330936883790459
7200.0	5.26085140518333	0.4251968503937008	4.244205694869991
